StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       04,      00,   200910,   2.07,   58.1,  -2.51,  -2.51,   1.69,  -1.78,     20,    173,    .98,    .61,    .49,     .8,    .09,   -.56,  -1.09,   45.5,   70.8,
       04,      00,   200911,    .99,   50.9,     -3,     -3,  -2.22,     -3,      5,    329,   -.93,   -.22,   -.42,   -.39,   -.81,   -.89,  -1.09,   38.6,   63.2,
       04,      00,   200912,   3.15,   41.8,     -3,     -3,   -.93,     -3,      0,    576,   -.08,   -.63,   -.31,   -.49,    -.6,   -.86,  -1.12,   32.2,   51.3,
       04,      00,   201001,   6.48,   45.2,    .67,  -2.02,      2,  -1.14,      0,    491,    .93,     .6,    .15,    .24,    .34,    .09,  -1.22,   36.6,   53.7,
       04,      00,   201002,   3.65,   46.8,    .66,  -1.75,     .2,   -.76,      0,    436,    .15,    .69,    .48,    .22,    .22,   -.12,  -1.05,   37.5,   56.1,
       04,      00,   201003,   2.19,     49,    .22,  -1.94,  -1.12,  -1.36,      0,    420,   -.36,   -.18,     .4,    .13,    .04,   -.06,   -.88,   37.2,   60.9,
       04,      00,   201004,   3.47,   50.9,   1.22,   -.72,   3.06,   1.03,      1,    388,   1.46,    .52,    .34,     .3,    .36,    .43,   -.49,     39,   62.8,
       04,      00,   201005,   1.07,   56.9,    1.5,    1.5,   1.22,    1.5,     14,    247,    .49,   1.39,    .55,     .6,    .41,    .41,   -.42,     44,   69.8,
       04,      00,   201006,    .26,   69.1,   1.93,   1.93,   1.77,   1.93,    100,     55,   -.07,    .35,   1.31,    .72,    .45,    .37,   -.39,   55.1,   83.2,
       04,      00,   201007,    .07,   76.1,   1.94,   1.94,    .62,   1.94,    213,      6,    -.9,    -.5,     .2,    .36,    .32,    .37,    -.4,   61.2,     91,
       04,      00,   201008,     .1,   73.4,   1.53,   1.53,   -.64,   1.16,    193,      9,   -.68,  -1.23,   -.84,    .45,    .56,    .37,   -.39,   58.2,   88.6,
       04,      00,   201009,    .16,   70.4,   1.04,   1.04,   -.99,    .15,    154,     20,   -.59,   -.94,  -1.22,   1.01,    .65,    .38,   -.39,   54.9,     86,
       04,      00,   201010,      3,   60.5,   1.99,   1.99,   3.17,   1.99,     28,    140,   1.66,   1.44,   1.31,    1.2,    .65,    .51,   -.12,   49.1,   71.9,
       04,      00,   201011,    2.6,   48.6,   1.84,   1.84,    .17,   1.84,      0,    393,    .22,    .98,    .88,    .74,    .77,    .75,    -.1,   37.6,   59.6,
       04,      00,   201012,   8.13,   45.8,   3.14,   3.14,   4.47,   3.14,      0,    481,   1.72,   1.43,   1.79,   1.66,   1.98,   1.45,    .49,   37.7,   53.8,
       04,      00,   201101,   1.28,   45.2,   1.98,   1.98,  -2.53,    .89,      0,    481,  -1.25,    .55,    .47,    .75,    .73,    .75,    .47,   34.6,   55.7,
       04,      00,   201102,   3.34,   43.4,   1.82,   1.82,    .13,    .77,      0,    523,    .01,   -.84,    .38,    .61,    .55,    .66,    .32,   32.3,   54.6,
       04,      00,   201103,   6.41,   48.7,   3.03,   3.03,   4.21,   3.03,      1,    436,   1.48,    .92,    .13,   1.11,   1.04,   1.28,    .79,   38.6,   58.9,
       04,      00,   201104,    1.1,   53.4,   2.47,   2.47,   -.73,   2.11,      9,    311,   -.31,   1.11,    .73,    .75,    .93,    .91,    .84,   41.1,   65.7,
       04,      00,   201105,   1.44,   57.6,   2.82,   2.82,   1.79,   2.82,     16,    240,    .94,    .18,   1.23,    .85,   1.01,    .97,    .87,   44.8,   70.3,
       04,      00,   201106,    .92,   66.9,   3.42,   3.42,   2.67,   3.42,     72,     80,   1.74,   1.45,    .56,    .25,   1.12,   1.06,     .9,   53.3,   80.5,
       04,      00,   201107,    .22,   74.2,   3.84,   3.84,   2.31,   3.84,    217,      4,    .53,   1.75,    1.5,    .99,    .92,   1.07,    .92,     60,   88.4,
       04,      00,   201108,     .1,   75.2,    3.5,    3.5,    .17,    3.5,    236,      3,   -.68,    -.2,   1.28,   1.34,    .93,   1.07,    .92,   59.8,   90.5,
